rank,group_name,pc_change,attendance_2019,attendance_2018
1,WALT DISNEY ATTRACTIONS,-0.8391021606880638,155991000,157311000
2,MERLIN ENTERTAINMENTS GROUP,0.9036144578313252,67000000,66400000
3,OCT PARKS CHINA,9.361702127659575,53970000,49350000
4,UNIVERSAL PARKS AND RESORTS,2.346808340656707,51243000,50068000
5,FANTAWILD GROUP,19.77230593715834,50393000,42074000
6,CHIMELONG GROUP,8.85405945834681,37018000,34007000
7,SIX FLAGS INC.,2.457531851111666,32811000,32024000
8,CEDAR FAIR ENTERTAINMENT COMPANY,7.818771225686941,27938000,25912000
9,SEAWORLD PARKS & ENTERTAINMENT,0.18598884066955984,22624000,22582000
10,PARQUES REUNIDOS,6.196172248803828,22195000,20900000
